"country","at_least_basic","limited","unimproved","open_defecation","annual_rate_of_change_in_basic","annual_rate_of_change_in_open_defecation","safely_managed","disposed_in_situ","emptied_and_treated","waste_water_treated","latrines_and_other","septic_tanks","sewer_connections"
"Afghanistan",39.2,9.4,37.8,13.5,1.02,-0.86,"-","-","-","-",29.9,6.7,2.7
"Albania",97.7,2.1,0.0,0.2,0.62,-0.04,64.8,0.9,0.0,63.9,0.0,1.9,95.8
"Algeria",87.5,8.4,3.3,0.8,0.25,-0.37,19.1,5.9,0.0,13.3,3.9,7.8,75.8
"American Samoa",62.2,36.4,1.4,0.0,-0.03,0.00,"-","-","-","-",6.9,24.6,30.7
"Andorra",100.0,0.0,0.0,0.0,0.00,0.00,100.0,0.0,0.0,100.0,0.0,"-",100.0
"Angola",39.4,15.0,12.7,32.8,1.26,-1.23,"-","-","-","-",4.5,28.3,6.6
"Anguilla",96.9,2.4,0.7,0.0,0.48,-0.14,"-","-","-","-",4.1,91.6,1.2
"Antigua and Barbuda",87.5,4.2,8.1,0.3,0.34,-0.07,"-","-","-",1.1,10.7,75.7,1.1
"Argentina",94.8,3.3,0.5,1.4,0.00,0.09,26.5,18.9,0.0,7.5,10.0,27.8,57.0
"Armenia",91.6,1.7,6.7,0.0,0.08,-0.01,"-","-","-","-",24.6,0.6,66.4
"Aruba",97.5,0.0,1.0,1.5,-0.05,0.03,"-","-","-",6.9,0.0,90.3,7.2
"Australia",100.0,0.0,0.0,0.0,0.00,0.00,74.2,5.8,0.0,68.5,11.5,"-",88.5
"Austria",100.0,0.0,0.0,0.0,0.00,0.00,96.8,3.2,0.0,93.6,1.1,5.2,93.6
"Azerbaijan",89.3,5.7,4.8,0.2,1.58,0.00,"-","-","-",34.9,51.9,0.9,36.6
"Bahamas",92.0,4.6,3.4,0.0,0.23,-0.08,"-","-","-",9.9,0.6,79.0,12.4
"Bahrain",100.0,0.0,0.0,0.0,0.01,0.00,"-","-","-","-","-","-","-"
"Bangladesh",46.9,22.2,30.8,0.1,1.44,-1.22,"-","-","-","-",34.4,9.2,3.3
"Barbados",96.5,1.9,0.8,0.8,0.57,0.01,"-","-","-",5.3,81.6,9.5,5.3
"Belarus",94.3,4.9,0.9,0.0,-0.05,0.00,76.2,4.8,0.0,71.4,4.2,5.4,84.6
